"id";"src";"type";"alt";"width";"height";"title";"description";"data-tags";"date";"category";"active";"poster"
70;"https://hollyngrade.com/dogs/04-woodsWithMe/P6270112.webp";"image";"";1920;1440;"";"";"";"2012-06-27T17:15:36.000Z";"04-woodsWithMe";1;""
71;"https://hollyngrade.com/dogs/05-Sanger/Chasm 6.webp";"image";"";1440;1920;"";"";"";"2014-10-05T19:17:25.000Z";"05-Sanger";1;""
72;"https://hollyngrade.com/dogs/05-Sanger/germany 2.webp";"image";"";1440;1920;"";"";"";"2014-07-02T16:14:52.000Z";"05-Sanger";1;""
73;"https://hollyngrade.com/dogs/05-Sanger/IMG_0118.webp";"image";"";1080;1920;"";"";"";"2014-12-11T01:14:08.000Z";"05-Sanger";1;""
74;"https://hollyngrade.com/dogs/05-Sanger/IMG_0611.webp";"image";"";1440;1920;"";"";"";"2014-12-31T18:20:54.000Z";"05-Sanger";1;""
75;"https://hollyngrade.com/dogs/05-Sanger/IMG_0782.webp";"image";"";1600;1200;"";"";"";"2014-03-01T14:44:56.000Z";"05-Sanger";1;""
76;"https://hollyngrade.com/dogs/05-Sanger/IMG_0783.webp";"image";"";1600;1200;"";"";"";"2014-03-01T14:44:59.000Z";"05-Sanger";1;""
77;"https://hollyngrade.com/dogs/05-Sanger/IMG_0805.webp";"image";"";1600;1200;"";"";"";"2013-08-28T20:16:53.000Z";"05-Sanger";1;""
78;"https://hollyngrade.com/dogs/05-Sanger/IMG_0809.webp";"image";"";1136;640;"";"";"";"2014-03-01T01:13:43.000Z";"05-Sanger";1;""
79;"https://hollyngrade.com/dogs/05-Sanger/IMG_0977.webp";"image";"";1440;1920;"";"";"";"2014-03-14T21:39:02.000Z";"05-Sanger";1;""
80;"https://hollyngrade.com/dogs/05-Sanger/IMG_0978.webp";"image";"";1440;1920;"";"";"";"2014-03-14T21:39:06.000Z";"05-Sanger";1;""
81;"https://hollyngrade.com/dogs/05-Sanger/IMG_0979.webp";"image";"";1440;1920;"";"";"";"2014-03-14T21:39:10.000Z";"05-Sanger";1;""
82;"https://hollyngrade.com/dogs/05-Sanger/IMG_0983.webp";"image";"";1600;1200;"";"";"";"2013-09-07T01:10:27.000Z";"05-Sanger";1;""
83;"https://hollyngrade.com/dogs/05-Sanger/IMG_0998.webp";"image";"";1200;1600;"";"";"";"2013-09-07T01:10:37.000Z";"05-Sanger";1;""
84;"https://hollyngrade.com/dogs/05-Sanger/IMG_0999.webp";"image";"";1200;1600;"";"";"";"2013-09-07T01:10:44.000Z";"05-Sanger";1;""
85;"https://hollyngrade.com/dogs/05-Sanger/IMG_1058.webp";"image";"";1600;1200;"";"";"";"2013-09-11T09:13:38.000Z";"05-Sanger";1;""
86;"https://hollyngrade.com/dogs/05-Sanger/IMG_1382.webp";"image";"";1600;1200;"";"";"";"2013-09-20T01:12:02.000Z";"05-Sanger";1;""
87;"https://hollyngrade.com/dogs/05-Sanger/IMG_1383.webp";"image";"";1200;1600;"";"";"";"2013-09-20T01:12:16.000Z";"05-Sanger";1;""
88;"https://hollyngrade.com/dogs/05-Sanger/IMG_1384.webp";"image";"";1600;1200;"";"";"";"2013-09-20T01:12:24.000Z";"05-Sanger";1;""
89;"https://hollyngrade.com/dogs/05-Sanger/IMG_1681.webp";"image";"";1440;1920;"";"";"";"2013-10-04T01:11:20.000Z";"05-Sanger";1;""
90;"https://hollyngrade.com/dogs/05-Sanger/IMG_2140.webp";"image";"";1920;1440;"";"";"";"2014-05-14T18:56:29.000Z";"05-Sanger";1;""
91;"https://hollyngrade.com/dogs/05-Sanger/IMG_2489.webp";"image";"";1920;1440;"";"";"";"2014-06-03T15:28:22.000Z";"05-Sanger";1;""
92;"https://hollyngrade.com/dogs/05-Sanger/IMG_2492.webp";"image";"";1920;1440;"";"";"";"2014-06-03T15:28:33.000Z";"05-Sanger";1;""
93;"https://hollyngrade.com/dogs/05-Sanger/IMG_2624.webp";"image";"";1440;1920;"";"";"";"2014-06-10T13:22:36.000Z";"05-Sanger";1;""
94;"https://hollyngrade.com/dogs/05-Sanger/IMG_2627.webp";"image";"";1440;1920;"";"";"";"2014-06-10T13:22:47.000Z";"05-Sanger";1;""
95;"https://hollyngrade.com/dogs/05-Sanger/IMG_2657.webp";"image";"";1440;1920;"";"";"";"2014-06-11T20:42:12.000Z";"05-Sanger";1;""
96;"https://hollyngrade.com/dogs/05-Sanger/IMG_2658.webp";"image";"";1440;1920;"";"";"";"2014-06-11T20:42:13.000Z";"05-Sanger";1;""
97;"https://hollyngrade.com/dogs/05-Sanger/IMG_2811.webp";"image";"";1280;960;"";"";"";"2014-06-17T17:25:27.000Z";"05-Sanger";1;""
98;"https://hollyngrade.com/dogs/05-Sanger/IMG_2812.webp";"image";"";960;1280;"";"";"";"2014-06-17T17:25:43.000Z";"05-Sanger";1;""
99;"https://hollyngrade.com/dogs/05-Sanger/IMG_2817.webp";"image";"";1280;960;"";"";"";"2014-06-17T17:26:13.000Z";"05-Sanger";1;""
100;"https://hollyngrade.com/dogs/05-Sanger/IMG_2818.webp";"image";"";1280;960;"";"";"";"2014-06-17T17:26:40.000Z";"05-Sanger";1;""
101;"https://hollyngrade.com/dogs/05-Sanger/IMG_2820.webp";"image";"";1280;960;"";"";"";"2014-06-17T17:26:47.000Z";"05-Sanger";1;""
102;"https://hollyngrade.com/dogs/05-Sanger/IMG_3435.webp";"image";"";1440;1920;"";"";"";"2014-07-24T14:20:03.000Z";"05-Sanger";1;""
103;"https://hollyngrade.com/dogs/05-Sanger/IMG_3436.webp";"image";"";1440;1920;"";"";"";"2014-07-24T14:20:06.000Z";"05-Sanger";1;""
104;"https://hollyngrade.com/dogs/05-Sanger/IMG_4161.webp";"image";"";1920;1440;"";"";"";"2014-09-09T17:32:01.000Z";"05-Sanger";1;""
105;"https://hollyngrade.com/dogs/05-Sanger/IMG_4163.webp";"image";"";1920;1440;"";"";"";"2014-09-09T17:32:08.000Z";"05-Sanger";1;""
106;"https://hollyngrade.com/dogs/05-Sanger/IMG_4234.webp";"image";"";1280;960;"";"";"";"2014-09-14T16:10:21.000Z";"05-Sanger";1;""
107;"https://hollyngrade.com/dogs/05-Sanger/IMG_4235.webp";"image";"";1280;960;"";"";"";"2014-09-14T16:10:24.000Z";"05-Sanger";1;""
108;"https://hollyngrade.com/dogs/05-Sanger/IMG_4475.webp";"image";"";1920;1440;"";"";"";"2014-10-01T19:23:38.000Z";"05-Sanger";1;""
109;"https://hollyngrade.com/dogs/05-Sanger/IMG_4516.webp";"image";"";1920;1440;"";"";"";"2014-10-03T18:03:13.000Z";"05-Sanger";1;""
110;"https://hollyngrade.com/dogs/05-Sanger/IMG_4869.webp";"image";"";1920;1080;"";"";"";"2014-10-16T18:11:42.000Z";"05-Sanger";1;""
111;"https://hollyngrade.com/dogs/05-Sanger/IMG_4967.webp";"image";"";1440;1920;"";"";"";"2014-10-21T15:51:06.000Z";"05-Sanger";1;""
112;"https://hollyngrade.com/dogs/05-Sanger/IMG_4989.webp";"image";"";1440;1920;"";"";"";"2014-10-23T13:47:29.000Z";"05-Sanger";1;""
113;"https://hollyngrade.com/dogs/05-Sanger/IMG_4990.webp";"image";"";1920;1440;"";"";"";"2014-10-23T13:49:30.000Z";"05-Sanger";1;""
114;"https://hollyngrade.com/dogs/05-Sanger/IMG_4991.webp";"image";"";1920;1440;"";"";"";"2014-10-23T13:49:33.000Z";"05-Sanger";1;""
115;"https://hollyngrade.com/dogs/05-Sanger/IMG_4996.webp";"image";"";1440;1920;"";"";"";"2014-10-23T13:51:51.000Z";"05-Sanger";1;""
116;"https://hollyngrade.com/dogs/05-Sanger/IMG_4997.webp";"image";"";1440;1920;"";"";"";"2014-10-23T13:51:54.000Z";"05-Sanger";1;""
117;"https://hollyngrade.com/dogs/05-Sanger/IMG_4999.webp";"image";"";1920;1080;"";"";"";"2014-10-23T13:52:05.000Z";"05-Sanger";1;""
118;"https://hollyngrade.com/dogs/05-Sanger/IMG_5027.webp";"image";"";1440;1920;"";"";"";"2014-10-23T21:37:00.000Z";"05-Sanger";1;""
119;"https://hollyngrade.com/dogs/05-Sanger/IMG_5328.webp";"image";"";1920;1440;"";"";"";"2014-11-09T07:40:33.000Z";"05-Sanger";1;""
120;"https://hollyngrade.com/dogs/05-Sanger/IMG_5331.webp";"image";"";1920;1080;"";"";"";"2014-11-09T07:40:56.000Z";"05-Sanger";1;""
121;"https://hollyngrade.com/dogs/05-Sanger/IMG_5334.webp";"image";"";1920;1080;"";"";"";"2014-11-09T07:41:50.000Z";"05-Sanger";1;""
122;"https://hollyngrade.com/dogs/05-Sanger/KC 2.webp";"image";"";1920;1440;"";"";"";"2013-08-10T04:40:46.000Z";"05-Sanger";1;""
123;"https://hollyngrade.com/dogs/05-Sanger/KC 3.webp";"image";"";1920;1440;"";"";"";"2014-03-29T22:33:16.000Z";"05-Sanger";1;""
124;"https://hollyngrade.com/dogs/05-Sanger/KC 4.webp";"image";"";1440;1920;"";"";"";"2015-02-27T10:22:37.000Z";"05-Sanger";1;""
125;"https://hollyngrade.com/dogs/05-Sanger/KC teens.webp";"image";"";1920;1440;"";"";"";"2016-11-26T11:05:37.000Z";"05-Sanger";1;""
126;"https://hollyngrade.com/dogs/05-Sanger/Koda 5.webp";"image";"";1440;1920;"";"";"";"2014-10-05T18:58:53.000Z";"05-Sanger";1;""
127;"https://hollyngrade.com/dogs/06-atxSort/Chasm_mugshot.webp";"image";"";1536;1920;"";"";"";"2020-01-24T13:57:55.000Z";"06-atxSort";1;""
128;"https://hollyngrade.com/dogs/2019/Koda_pillows.webp";"image";"";1440;1920;"";"";"";"2019-05-13T12:05:41.000Z";"2019";1;""
129;"https://hollyngrade.com/dogs/2019/Photo Aug 01, 18 08 29.webp";"image";"";1920;1440;"";"";"";"2019-08-01T18:08:30.000Z";"2019";1;""
130;"https://hollyngrade.com/dogs/2019/Photo Aug 01, 20 51 46.webp";"image";"";1920;1440;"";"";"";"2019-08-01T20:51:46.000Z";"2019";1;""
131;"https://hollyngrade.com/dogs/2019/Photo Aug 01, 22 54 34.webp";"image";"";1920;1440;"";"";"";"2019-08-01T22:54:35.000Z";"2019";1;""
132;"https://hollyngrade.com/dogs/2019/Photo Aug 02, 16 33 26.webp";"image";"";1920;1440;"";"";"";"2019-08-02T16:33:27.000Z";"2019";1;""
133;"https://hollyngrade.com/dogs/2019/Photo Aug 06, 22 29 55.webp";"image";"";1920;1440;"";"";"";"2019-08-06T22:29:56.000Z";"2019";1;""
134;"https://hollyngrade.com/dogs/2019/Photo Aug 06, 22 30 03.webp";"image";"";1920;1440;"";"";"";"2019-08-06T22:30:04.000Z";"2019";1;""
135;"https://hollyngrade.com/dogs/2019/Photo Aug 08, 02 47 09.webp";"image";"";1920;1440;"";"";"";"2019-08-08T02:47:09.000Z";"2019";1;""
136;"https://hollyngrade.com/dogs/2019/Photo Aug 08, 02 47 13.webp";"image";"";1920;1440;"";"";"";"2019-08-08T02:47:13.000Z";"2019";1;""
137;"https://hollyngrade.com/dogs/2019/Photo Aug 09, 06 28 33.webp";"image";"";1920;1440;"";"";"";"2019-08-09T06:28:35.000Z";"2019";1;""
138;"https://hollyngrade.com/dogs/2019/Photo Aug 12, 19 09 42.webp";"image";"";1920;1440;"";"";"";"2019-08-12T19:09:43.000Z";"2019";1;""
139;"https://hollyngrade.com/dogs/2019/Photo Aug 12, 19 09 43.webp";"image";"";1920;1440;"";"";"";"2019-08-12T19:09:44.000Z";"2019";1;""
140;"https://hollyngrade.com/dogs/2019/Photo Aug 12, 19 09 44.webp";"image";"";1920;1440;"";"";"";"2019-08-12T19:09:45.000Z";"2019";1;""
141;"https://hollyngrade.com/dogs/2019/Photo Aug 12, 19 14 57.webp";"image";"";1920;1440;"";"";"";"2019-08-12T19:14:57.000Z";"2019";1;""
142;"https://hollyngrade.com/dogs/2019/Photo Aug 28, 02 49 39.webp";"image";"";1920;1440;"";"";"";"2019-08-28T02:49:39.000Z";"2019";1;""
143;"https://hollyngrade.com/dogs/2019/Photo Aug 29, 01 03 23.webp";"image";"";1920;1442;"";"";"";"2019-08-29T01:03:24.000Z";"2019";1;""
144;"https://hollyngrade.com/dogs/2019/Photo Dec 01, 13 45 53.webp";"image";"";1920;1440;"";"";"";"2019-12-01T13:45:54.000Z";"2019";1;""
145;"https://hollyngrade.com/dogs/2019/Photo Dec 04, 23 09 48.webp";"image";"";1920;1440;"";"";"";"2019-12-04T23:09:49.000Z";"2019";1;""
146;"https://hollyngrade.com/dogs/2019/Photo Dec 04, 23 09 51 (1).webp";"image";"";1920;1440;"";"";"";"2019-12-04T23:09:52.000Z";"2019";1;""
147;"https://hollyngrade.com/dogs/2019/Photo Dec 13, 13 11 58.webp";"image";"";1920;1442;"";"";"";"2019-12-13T13:11:59.000Z";"2019";1;""
148;"https://hollyngrade.com/dogs/2019/Photo Dec 13, 14 30 06.webp";"image";"";1440;1920;"";"";"";"2019-12-13T14:30:07.000Z";"2019";1;""
149;"https://hollyngrade.com/dogs/2019/Photo Dec 13, 16 08 49.webp";"image";"";1920;1440;"";"";"";"2019-12-13T16:08:50.000Z";"2019";1;""
150;"https://hollyngrade.com/dogs/2019/Photo Dec 13, 16 18 56.webp";"image";"";1920;1440;"";"";"";"2019-12-13T16:18:56.000Z";"2019";1;""
151;"https://hollyngrade.com/dogs/2019/Photo Jul 19, 10 20 58.webp";"image";"";1920;1442;"";"";"";"2019-07-19T10:20:59.000Z";"2019";1;""
152;"https://hollyngrade.com/dogs/2019/Photo Jul 19, 10 29 31.webp";"image";"";1920;1442;"";"";"";"2019-07-19T10:29:32.000Z";"2019";1;""
